Word           Frequency      Posting List   
arrival        1              [(2, 10326)]   

art            2              [(1, 1028), (1, 4234)]

arthur         1              [(2, 20545)]   

artichokes     1              [(2, 14532)]   

article        14             [(1, 48), (1, 1650), (1, 2374), (1, 4593), (1, 8698), (1, 9027), (2, 49), (2, 8306), (2, 8913), (2, 9470), (2, 9876), (2, 11504), (2, 14615), (2, 15792)]

arts           2              [(2, 1902), (2, 16034)]

as             50             [(1, 2406), (1, 2427), (1, 2622), (1, 3140), (1, 3212), (1, 4336), (1, 6136), (1, 9894), (1, 9962), (1, 10137), (1, 10534), (1, 11147), (1, 11903), (1, 13603), (2, 1076), (2, 1143), (2, 1237), (2, 2541), (2, 2549), (2, 2837), (2, 3258), (2, 3638), (2, 3676), (2, 3757), (2, 3848), (2, 4359), (2, 5463), (2, 5524), (2, 5613), (2, 5754), (2, 9431), (2, 9801), (2, 10003), (2, 11288), (2, 13340), (2, 13452), (2, 14087), (2, 14192), (2, 14200), (2, 14397), (2, 14444), (2, 14524), (2, 14691), (2, 14746), (2, 16285), (2, 16670), (2, 16706), (2, 16863), (2, 18882), (2, 21638)]

asesor         1              [(2, 21500)]   

asexually      1              [(1, 5723)]    

asia           4              [(2, 5977), (2, 6976), (2, 26870), (2, 26962)]

asian          3              [(1, 19758), (2, 9102), (2, 24592)]

assessment     1              [(2, 23438)]   

associated     1              [(1, 2591)]    

association    1              [(2, 24825)]   

assumption     1              [(2, 16917)]   

at             15             [(1, 3699), (1, 3893), (1, 6299), (1, 6463), (1, 7781), (1, 8399), (2, 2233), (2, 2564), (2, 3137), (2, 3453), (2, 7990), (2, 9237), (2, 10809), (2, 19735), (2, 21873)]

atg            1              [(1, 15579)]   

atlantic       1              [(2, 8400)]    

attempt        1              [(1, 4144)]    

august         12             [(1, 13785), (1, 13934), (1, 15457), (1, 15562), (1, 15761), (2, 17955), (2, 20861), (2, 21575), (2, 23598), (2, 25377), (2, 25411), (2, 25616)]

aury           2              [(2, 18358), (2, 22320)]

australia      1              [(2, 17264)]   

australian     2              [(2, 21732), (2, 26436)]

author         1              [(1, 12049)]   

authorship     1              [(1, 3848)]    

autumn         1              [(1, 1525)]    

available      2              [(2, 8495), (2, 9835)]

average        2              [(1, 6964), (2, 3779)]

avoid          1              [(1, 4155)]    

awarded        1              [(1, 3544)]    

away           2              [(1, 12350), (2, 22728)]

ayyampalayam   2              [(2, 18561), (2, 22513)]

b              61             [(1, 6873), (1, 9201), (1, 9203), (1, 9205), (1, 9207), (1, 9209), (1, 12913), (1, 12996), (1, 13071), (1, 13771), (1, 14042), (1, 14244), (1, 14521), (1, 14764), (1, 14830), (1, 15307), (1, 15649), (1, 15770), (1, 15913), (1, 16525), (1, 16861), (1, 17048), (1, 17333), (1, 17408), (1, 17630), (1, 17736), (1, 18038), (1, 18112), (1, 18594), (1, 19038), (2, 12885), (2, 12887), (2, 12889), (2, 12891), (2, 12893), (2, 17069), (2, 17203), (2, 17258), (2, 17412), (2, 17686), (2, 17964), (2, 18161), (2, 18165), (2, 18407), (2, 18776), (2, 19710), (2, 19789), (2, 20181), (2, 20646), (2, 20689), (2, 20786), (2, 20843), (2, 20963), (2, 21482), (2, 22206), (2, 22367), (2, 22686), (2, 24182), (2, 24365), (2, 24703), (2, 26782)]

bacterial      5              [(1, 759), (1, 8927), (2, 1790), (2, 12786), (2, 23296)]

bag            1              [(2, 10906)]   

bags           5              [(2, 11560), (2, 11584), (2, 21679), (2, 21916), (2, 22048)]

bahar          1              [(1, 16289)]   

bailey         1              [(2, 18089)]   

